Category,Product Name,Brand,Price (KSh),Original Price (KSh),Discount %,High Discount Flag,Rating,Review Count,Product URL,Scraped Date,Storage (GB),RAM (GB),Battery (mAh),Camera (MP),Rating Category,Price Category,Value Score
smart-watches,"2.09"" Smart Watch Fitness Tracker Heart Rate Sleep Monitor Bluetooth 5.0 Waterproof White","2.09"" Smart Watch Fitness Tracker Heart Rate Sleep Monitor Bluetooth 5.0 Waterproof White",632,1206,47.6,FALSE,3.5,0,https://www.jumia.co.ke/generic-2.09-smart-watch-fitness-tracker-heart-rate-sleep-monitor-bluetooth-5.0-waterproof-white-326409498.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.493
smart-watches,2.09''inch T900U Smartwatch Native Storm Waterproof Black,2.09''inch T900U Smartwatch Native Storm Waterproof  Black,469,1206,61.1,TRUE,3.3,0,https://www.jumia.co.ke/2.09inch-t900u-smartwatch-native-storm-waterproof-black-generic-mpg10328301.html,07/26/26 13:54,,,,,Average,Budget (<5k),0.513
smart-watches,S10 Ultra 2.2'' Full Touch Screen Smart Watch - For Android & IOS,S10 Ultra 2.2'' Full Touch Screen Smart Watch - For Android & IOS,799,1997,60,TRUE,3.5,0,https://www.jumia.co.ke/generic-s10-ultra-2.2-full-touch-screen-smart-watch-for-android-ios-325138030.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.53
smart-watches,"TiLECC TiLECC T900 Ultra2 Smart Watch - 2.19"" Display, 128MB, Bluetooth 5.0, IP68 Waterproof, White","TiLECC TiLECC T900 Ultra2 Smart Watch - 2.19"" Display, 128MB, Bluetooth 5.0, IP68 Waterproof, White",653,1903,65.7,TRUE,3.4,0,https://www.jumia.co.ke/tilecc-tilecc-t900-ultra2-smart-watch-2.19-display-128mb-bluetooth-5.0-ip68-waterproof-white-297104142.html,07/26/26 13:54,,,,,Average,Budget (<5k),0.537
smart-watches,Oraimo Watch 5 Lite Smart Watch Smartwatch' Screen Bluetooth Durable Waterproof Dustproof,Oraimo Watch 5 Lite Smart Watch Smartwatch' Screen Bluetooth Durable Waterproof Dustproof,1850,4999,63,TRUE,4.2,0,https://www.jumia.co.ke/oraimo-watch-5-lite-smart-watch-smartwatch-screen-bluetooth-durable-waterproof-dustproof-319286556.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.609
smart-watches,VIC ♛True 2+16GB Full Touch Smart Watch BT Call Sport Heart Rate Health Monitor White,VIC ♛True 2+16GB Full Touch Smart Watch BT Call Sport Heart Rate Health Monitor White,603,2814,78.6,TRUE,4,0,https://www.jumia.co.ke/vic-true-216gb-full-touch-smart-watch-bt-call-sport-heart-rate-health-monitor-white-153991604.html,07/26/26 13:54,16,,,,Good,Budget (<5k),0.636
smart-watches,"Oraimo Watch Nova 2 2.01"" AMOLED IP68 Curved Touchscreen Smart Watch","Oraimo Watch Nova 2 2.01"" AMOLED IP68 Curved Touchscreen Smart Watch",3800,11523,67,TRUE,3.9,0,https://www.jumia.co.ke/oraimo-watch-nova-2-2.01-amoled-ip68-curved-touchscreen-smart-watch-326714405.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.591
smart-watches,VANIR HD Large Display Smartwatch with Bluetooth Calling Message Notifications Long Battery Life Multiple Sports Modes Watch for Men Women Compatible with iPhone Android Samsung Tecno Infinix Camon Hot,VANIR HD Large Display Smartwatch with Bluetooth Calling Message Notifications Long Battery Life Multiple Sports Modes Watch for Men Women Compatible with iPhone Android Samsung Tecno Infinix Camon Hot,2010,2680,25,FALSE,3.7,0,https://www.jumia.co.ke/vanir-hd-large-display-smartwatch-with-bluetooth-calling-message-notifications-long-battery-life-multiple-sports-modes-watch-for-men-women-compatible-with-iphone-android-samsung-tecno-infinix-camon-hot-327482923.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.445
smart-watches,smart watch,smart watch,3000,,0,FALSE,0,0,https://www.jumia.co.ke/generic-smart-watch-326263568.html,07/26/26 13:54,,,,,No Rating,Budget (<5k),0
smart-watches,L13 Smart Watch Double Straps Sports Bluetooth Call Information Notification Touch Screen,L13 Smart Watch Double Straps Sports Bluetooth Call Information Notification Touch Screen,1206,2680,55,FALSE,4,0,https://www.jumia.co.ke/l13-smart-watch-double-straps-sports-bluetooth-call-information-notification-touch-screen-generic-mpg10264730.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.565
smart-watches,Smart Watch Men Women 2.09''Bluetooth Call Wireless Charger-Black,Smart Watch Men Women 2.09''Bluetooth Call Wireless Charger-Black,911,1474,38.2,FALSE,3.1,0,https://www.jumia.co.ke/generic-smart-watch-men-women-2.09bluetooth-call-wireless-charger-black-299809759.html,07/26/26 13:54,,,,,Average,Budget (<5k),0.425
smart-watches,"Oraimo 5 Lite 2.01"" HD IP68 Smart Watch RoseGold","Oraimo 5 Lite 2.01"" HD IP68 Smart Watch RoseGold",2214,5182,57.3,FALSE,4.7,0,https://www.jumia.co.ke/oraimo-5-lite-2.01-hd-ip68-smart-watch-rosegold-310861568.html,07/26/26 13:54,,,,,Excellent,Budget (<5k),0.642
smart-watches,"2.19 Inch Large HD Touch Screen Smartwatch, Bluetooth Calling Fitness Watch for Android iOS","2.19 Inch Large HD Touch Screen Smartwatch, Bluetooth Calling Fitness Watch for Android iOS",804,1340,40,FALSE,1.8,0,https://www.jumia.co.ke/generic-2.19-inch-large-hd-touch-screen-smartwatch-bluetooth-calling-fitness-watch-for-android-ios-192236937.html,07/26/26 13:54,,,,,Poor,Budget (<5k),0.3
smart-watches,Smart waterproof watch,Smart waterproof watch,3800,5162,26.4,FALSE,4.2,0,https://www.jumia.co.ke/generic-smart-waterproof-watch-325387771.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.499
smart-watches,TiLECC Ultra 3-in-1 Watch Band Smart Watch 49mm Series 8 Ultra Smart Watch 49mm,TiLECC Ultra 3-in-1 Watch Band Smart Watch 49mm Series 8 Ultra Smart Watch 49mm,804,2010,60,TRUE,3.7,0,https://www.jumia.co.ke/tilecc-ultra-3-in-1-watch-band-smart-watch-49mm-series-8-ultra-smart-watch-49mm-326714987.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.55
smart-watches,Utarudi GS77 Business Smart Watches With 2.01 Inch HD Display 320 MAh Battery Can Last For About A Week.,Utarudi GS77 Business Smart Watches With 2.01 Inch HD Display  320 MAh Battery Can Last For About A Week.,4013,4690,14.4,FALSE,4.1,0,https://www.jumia.co.ke/utarudi-gs77-business-smart-watches-with-2.01-inch-hd-display-320-mah-battery-can-last-for-about-a-week.-296432468.html,07/26/26 13:54,,,320,,Good,Budget (<5k),0.453
smart-watches,VANIR 2.19 HD Big Screen Smart Watch with Bluetooth Calling Fitness Tracker Multi Sport Long Battery Life Stylish Smartwatch for Men Women Compatible with iPhone Android Samsung Tecno Infinix Camon Hot,VANIR 2.19 HD Big Screen Smart Watch with Bluetooth Calling Fitness Tracker Multi Sport Long Battery Life Stylish Smartwatch for Men Women Compatible with iPhone Android Samsung Tecno Infinix Camon Hot,2010,6700,70,TRUE,5,0,https://www.jumia.co.ke/vanir-2.19-hd-big-screen-smart-watch-with-bluetooth-calling-fitness-tracker-multi-sport-long-battery-life-stylish-smartwatch-for-men-women-compatible-with-iphone-android-samsung-tecno-infinix-camon-hot-327550225.html,07/26/26 13:55,,,,,Excellent,Budget (<5k),0.71
smart-watches,Kingnote 2.09''inch C90Pro Smart Watch Dual Band 2-in-1 With Bluetooth Headset,Kingnote 2.09''inch C90Pro  Smart Watch Dual Band 2-in-1 With Bluetooth Headset,791,2412,67.2,TRUE,5,0,https://www.jumia.co.ke/kingnote-2.09inch-c90pro-smart-watch-dual-band-2-in-1-with-bluetooth-headset-326943165.html,07/26/26 13:55,,,,,Excellent,Budget (<5k),0.702
smart-watches,GT2 Smart Watch Sports Watch Bluetooth Call Step Counting Health Monitoring,GT2 Smart Watch Sports Watch Bluetooth Call Step Counting Health Monitoring,1367,2948,53.6,FALSE,3,0,https://www.jumia.co.ke/gt2-smart-watch-sports-watch-bluetooth-call-step-counting-health-monitoring-generic-mpg10264728.html,07/26/26 13:55,,,,,Average,Budget (<5k),0.461
smart-watches,Oraimo Watch 6N 1.83'' Full Touch Color Screen Smart Watch,Oraimo Watch 6N 1.83'' Full Touch Color Screen Smart Watch,1591,4019,60.4,TRUE,3.7,0,https://www.jumia.co.ke/oraimo-watch-6n-1.83-full-touch-color-screen-smart-watch-326710612.html,07/26/26 13:55,,,,,Good,Budget (<5k),0.551
smart-watches,Kingnote 2.09''inch T900U Smart Watch Dual Band 2-in-1 With Bluetooth Headset,Kingnote 2.09''inch T900U  Smart Watch Dual Band 2-in-1 With Bluetooth Headset,871,2412,63.9,TRUE,3.3,0,https://www.jumia.co.ke/kingnote-2.09inch-t900u-smart-watch-dual-band-2-in-1-with-bluetooth-headset-325602748.html,07/26/26 13:55,,,,,Average,Budget (<5k),0.522
smart-watches,116 Plus Heart Rate Blood Pressure Monitor Smart Watch,116 Plus Heart Rate Blood Pressure Monitor Smart Watch,620,1350,54.1,FALSE,3,0,https://www.jumia.co.ke/generic-116-plus-heart-rate-blood-pressure-monitor-smart-watch-327107993.html,07/26/26 13:55,,,,,Average,Budget (<5k),0.462
smart-watches,"AirMars Sport Watch ASW23 2.01"" AMOLED 2.5D 1000mah Battery Floating Interface IP68 Smart Watch","AirMars Sport Watch  ASW23  2.01"" AMOLED 2.5D 1000mah Battery Floating Interface IP68 Smart Watch",4020,6700,40,FALSE,0,0,https://www.jumia.co.ke/airmars-sport-watch-asw23-2.01-amoled-2.5d-1000mah-battery-floating-interface-ip68-smart-watch-328606445.html,07/26/26 13:55,,,1000,,No Rating,Budget (<5k),0.12
smart-watches,Oraimo WATCH 5 LITE LADIES SMART WATCH DURABLE WATER RESISTANT,Oraimo WATCH 5 LITE LADIES SMART WATCH DURABLE WATER RESISTANT,2390,2500,4.4,FALSE,4.1,0,https://www.jumia.co.ke/oraimo-watch-5-lite-ladies-smart-watch-durable-water-resistant-325354646.html,07/26/26 13:55,,,,,Good,Budget (<5k),0.423
smart-watches,Oraimo Watch Nova 2N 1.93 AMOLED Display Colorful Interface,Oraimo Watch Nova 2N 1.93 AMOLED Display Colorful Interface,2200,5226,57.9,FALSE,4.8,0,https://www.jumia.co.ke/oraimo-watch-nova-2n-1.93-amoled-display-colorful-interface-327113733.html,07/26/26 13:55,,,,,Excellent,Budget (<5k),0.654
smart-watches,Oraimo Watch 6 Pro 1.69'' Full Touch Smart Watch Black,Oraimo Watch 6 Pro 1.69'' Full Touch Smart Watch Black,3321,6699,50.4,FALSE,3.7,0,https://www.jumia.co.ke/oraimo-watch-6-pro-1.69-full-touch-smart-watch-black-326710635.html,07/26/26 13:55,,,,,Good,Budget (<5k),0.521
